responseID,perceivedLevelOfProtectionB,actualPrivacyDecisions,hypotheticalPrivacyDecisions,objectiveLevelOfProtectionB,isInHypotheticalGroup
1153,1,4,0,2,0
1155,2,0,2,2,1
1156,2,0,4,2,1
1157,1,5,0,2,0
1158,1,5,0,2,0
1159,-2,0,0,-2,0
1160,0,0,4,-2,1
1161,0,0,1,-2,1
1163,-1,2,0,-2,0
1164,0,5,0,2,0
1165,1,5,0,2,0
1167,-1,0,0,-2,0
1169,2,0,4,-2,1
1170,1,5,0,2,0
1171,1,0,4,2,1
1172,-2,0,2,-2,1
1174,1,5,0,2,0
1175,-2,4,0,-2,0
1176,2,0,2,2,1
1177,1,0,0,2,0
1178,-1,0,0,-2,1
1179,1,5,0,-2,0
1180,1,5,0,2,0
1181,0,0,4,2,1
1182,2,0,4,2,1
1183,1,5,0,2,0
1184,2,5,0,2,0
1185,-2,4,0,-2,0
1186,1,5,0,-2,0
1187,-1,0,0,-2,1
1188,1,0,3,-2,1
1189,-1,4,0,-2,0
1190,2,0,2,2,1
1191,-2,5,0,-2,0
1192,1,0,1,2,1
1193,1,0,4,2,1
1194,-2,1,0,-2,0
1195,2,5,0,2,0
1196,1,0,3,2,1
1197,0,0,0,2,0
1198,0,4,0,2,0
1199,0,5,0,-2,0
1200,0,0,0,-2,1
1201,1,0,5,2,1
1202,0,5,0,-2,0
1203,1,5,0,2,0
1204,-1,0,0,-2,0
1205,0,0,0,2,0
1206,1,0,3,2,1
1207,1,0,2,2,1
1208,2,0,4,2,1
1209,1,5,0,2,0
1210,2,3,0,-2,0
1211,-1,5,0,-2,0
1212,-2,0,5,-2,1
1213,0,5,0,2,0
1214,1,5,0,-2,0
1215,-2,0,0,-2,1
1216,-1,0,4,-2,1
1217,1,5,0,2,0
1218,-1,5,0,2,0
1220,-2,0,0,-2,0
1221,1,0,2,-2,1
1222,-1,4,0,-2,0
1223,1,4,0,2,0
1224,-1,0,0,-2,1
1225,-1,4,0,-2,0
1226,2,4,0,2,0
1227,1,5,0,-2,0
1228,1,5,0,-2,0
1229,1,2,0,2,0
1230,-1,0,0,-2,0
1231,-1,0,0,-2,1
1232,1,0,1,2,1
1233,-2,0,0,-2,1
1235,-1,5,0,-2,0
1236,-2,5,0,-2,0
1237,-2,0,0,-2,1
1238,-2,5,0,-2,0
1239,1,0,0,2,1
1240,-2,0,0,-2,1
1241,1,5,0,-2,0
1242,0,5,0,-2,0
1243,1,0,1,2,1
1244,2,5,0,2,0
1245,2,5,0,2,0
1246,-1,0,2,-2,1
1247,0,5,0,-2,0
1248,1,4,0,2,0
1249,0,3,0,-2,0
1250,1,0,0,2,1
1251,0,0,5,-2,1
1252,-1,0,5,-2,1
1253,1,5,0,-2,0
1254,-1,0,3,-2,1
1255,1,0,0,2,1
1256,1,5,0,2,0
1257,-2,0,0,-2,1
1258,1,0,2,-2,1
1259,1,5,0,2,0
1260,0,0,5,2,1
1261,1,5,0,2,0
1263,0,0,0,-2,1
1264,1,0,3,2,1
1265,-2,0,1,2,1
1267,0,0,0,-2,1
1268,1,0,1,-2,1
1269,0,0,4,2,1
1270,0,0,4,-2,1
1271,0,2,0,-2,0
1272,1,5,0,2,0
1273,1,0,2,2,1
1274,1,0,4,-2,1
1275,0,0,4,2,1
